       1A3Z   1AII   11BA    1ADO    1AEI   1A3N   1a2j   1AK4   1AHY   1AHX   1AJG   1A3O   1a01   1AI9   1a28   1AF7   1a02   176l   137l   1AJ7   1AIM   1AGQ   1AMU   1ANN   1AMT   1AM6   1AAC   1ABO   1A62   1A76    1A4L   1ALW   1ALV   1A4M   1A77   1A7T   1A75   1AA2   1A6G   12CA   1A8Z   1A4Y   1A6K   1ALX   153l   104m   12AS   1A4U   1A78   169l   1ABR   1AB1   1A5D   1A7L   1AMH   19hc   1ACB   1AAJ   1ABB   1A6M   1AAN   1A80   1A81   1A42   1A6N   1AAZ   105m   1ABW   1A7K   1AD1   11AS   12E8   1AHE   1AIA   1AGJ   1a2a   1AE6   1A31   1AHG   1AIC   157d   1AIB   1AHF   180l   1ADE   1AD3   1A2Q   154l   1AJK   1AIP   1AK9   1A35   1a0o   1AGY   1a3a   1AGN   1AD4   135l   1AJH   1A36
0      16.7   11.0   13.0   195.7   569.7   66.6   33.7   74.4   99.4   79.8  129.8  194.3   78.9  196.1    5.3    3.4   43.2   35.7   47.9   33.2   55.3   20.0   51.6   58.1   32.0  155.1   20.7  174.0   72.9   72.0   626.2   84.5   48.6  280.7   92.5  147.2   45.5   35.0   45.8  216.5   31.7   20.0   58.0    6.3    6.8   58.5  122.8   40.0   55.6   41.1   13.9   39.4   19.5   45.2    1.0  135.3   45.8   14.1  106.4   53.3    6.7  234.6   17.0  189.7    0.3  137.5   35.5  136.7   51.0   82.6   95.8   28.0   14.0  171.2  201.8  152.7   90.1    2.1   90.2   95.4   18.2   25.9   43.7   23.6   50.5   97.3   62.5   23.8   73.3    9.6   68.7   49.2  132.9  184.9   12.4  265.5   15.3   64.8  118.0  138.0
1      43.1   33.2   43.2    84.8   600.8  151.8    7.8  120.7   10.2   77.0   86.6  286.3  205.7   42.2   35.7   99.8   12.9  171.2   23.5  145.5    2.0   46.9   36.8   56.8   58.0  154.7   91.1   98.2    0.3  200.9   463.2  202.9  154.7  391.1  161.8   14.6  104.1   41.8  107.4   46.6   82.3  110.9  107.6   78.1   30.9  100.0    7.0   40.9    2.0  138.3    1.3  207.0  161.0    8.0  148.3  174.7   28.6   69.3  187.0  131.7   55.9    7.4  104.7  104.1   61.5  143.3   26.0  176.0   37.0   42.4  105.2  196.0   34.3  173.8   88.6   91.0   87.4   58.4   14.0  106.0    4.2  289.4   60.8    7.1   65.8  216.7  256.9    7.6  117.6    3.4  293.3   62.7   10.4   67.9   17.1   52.5  220.9   80.0   97.3   85.0
2     136.4   26.7   21.7   166.6   124.4  356.1   74.5  177.7   61.3   29.0   87.4  233.4  243.4   73.9   26.3   16.6    0.5   81.6   29.8  213.6   27.0   28.8    8.1   46.2   51.2   60.7  254.8  156.4   43.0   10.1   389.8   42.9   71.4  168.6   12.3   87.3   89.4    8.3   14.7  294.5  140.0   25.5   30.8   94.5   96.6   19.8  331.9  136.3   41.9  299.1   81.7   99.3  100.3  319.2    8.2   82.2  102.7  253.9  447.5    8.1  233.0   84.1   63.5  157.9    2.7   99.6   34.5  295.5   45.0  109.5  249.4  117.0   99.3   16.1   66.3  283.2   43.4    1.5  124.5   41.5   21.6  278.5   71.2   73.7   27.2   53.7  117.3   67.8  212.2   11.5  138.0   14.2   89.5   32.6  205.1  129.0   53.9  103.5   86.4   30.6
3      24.1   64.1   19.0   104.6   190.2  286.4   59.7  142.2   29.8   72.4   76.2   64.6  179.5  195.7    2.3   21.7   53.5   72.3   13.7   45.1   91.3  197.7   66.0   79.4   38.6   12.5   48.6   20.7   65.4    6.8   542.0   16.2    4.7  130.4   24.0  118.0  204.0   12.5   24.6   75.0   32.5   86.8   72.2  121.1  115.0  118.2  372.9   80.9   39.2  229.9  107.6   29.2  117.7  552.5   66.3  174.9  121.2   14.1   97.4   74.4   70.4   28.6   54.9   91.6   65.2  113.6    2.9  120.8    1.9  120.3  130.1  126.4   90.7   61.4  178.8   12.8   45.7   30.1   81.1   85.8    4.5  300.6   63.1   42.6  142.9  221.8   53.4   70.0   19.5   48.0  118.3   11.8   50.8  192.1   66.6  132.6  158.0   45.8   78.9   14.9
4      42.4   40.6   37.1   215.4   112.9  172.9   62.0   28.9   17.8   28.7  136.9  200.6   54.5  107.6   25.5  130.7   49.2   10.2   38.9    2.6  148.6   59.3   43.0   86.1   36.6   63.2  107.5   82.7   11.0   58.9    92.6   58.8   12.8  141.5   66.5   78.2   66.7    7.5   57.8  143.9   74.5   20.5   79.6   18.6  126.9   91.3  291.2   86.4   24.4   32.7   87.6   39.6  195.4  319.9    4.8   36.8   50.0   81.4  373.7   92.3  103.0   10.9   99.3  119.6   43.4  148.3   99.5  132.8   84.6  185.3   92.2  151.0   37.8   31.2   22.9  226.5   17.2    5.2   55.0   83.9   32.9  393.7   99.0   17.9   86.6  135.3  185.9   47.2   51.0   37.5  145.7   30.1  226.7   21.1  136.4  161.4  204.1   53.1  150.4   47.3
5      26.0   84.6   10.8   251.8   164.7  218.4   33.0   19.2   31.4   79.4   86.1  153.6  122.4  102.9   33.9   92.5   11.3   67.5   52.8   81.0  153.3   39.0  100.4  182.7    1.5   42.3   20.2   62.5   24.0   32.1   450.5   91.4   16.2   67.7  104.6   52.3  193.9   69.9  109.2  213.3   44.7   49.0  120.1  122.3   77.2  100.0  215.8   57.2   17.4  157.0  130.8   15.5  276.3  100.8  110.4    4.9   68.6   39.6  100.8  147.9   33.4   69.0  108.8  227.6  106.0  215.4   50.7  266.7   10.8   32.2  424.6   76.5   46.2  214.9   48.0  100.1    5.5    6.6    1.3  266.7   22.5  313.1   30.4    9.7   72.8  628.3  260.2   33.9  183.2   50.0  276.7   13.5  124.7   93.7   54.2  260.2   37.8   99.5   86.9   77.4
6      32.7  186.5    7.6   100.4   352.4  167.4   26.0  128.1    5.6  130.4   43.4   55.3  165.1  111.6   56.9    5.7   15.9   60.8  140.0   45.5   17.6   60.4   44.0  105.9   19.2   58.5   51.1   36.8   85.6   82.3    48.3   51.9   39.1  128.0   87.9  226.4  146.1   15.7   65.4  186.6   16.2   33.5   88.8   35.3   64.9   36.6  173.9  211.2   37.8  130.1   53.8    7.6   83.9  144.7   68.6  136.0   28.8   29.3  148.3  107.2   61.3   24.2    9.6   76.8   62.5  148.0   42.0  252.6  104.2   10.6  111.0  219.7  129.9  217.2  120.0  332.2   19.6   32.9   94.6  275.5   43.9  136.9    0.5   65.6  137.7  262.5  415.0  100.7   72.8   13.2  348.1   92.9   10.4  110.4   95.8  250.3   27.4   48.9  146.1   58.4
7      84.3  103.2   27.1   282.8    13.7  316.8   11.4  213.9   54.2   67.3   54.0   82.6  393.0  101.0   49.3    1.9   33.2   54.3   19.1   42.3  153.1   37.7  219.5  117.4   10.2  142.8   35.5   47.3   38.4   62.5   378.3    6.6   41.9   55.5   58.4  132.1   32.7   52.2  111.7  131.4   83.5    6.4  163.8   81.8   34.4   31.9   50.7   51.6   42.2   52.1   52.5   91.6   68.8   38.7  271.6   43.6   91.2   67.4  103.8  166.5   40.6   10.6   36.0  142.4   93.2   96.8   34.8  340.4   40.7  150.6  252.6   52.8   37.4   99.6  161.1  120.4   59.6   23.1  170.3  193.4    6.8   21.3  137.6   33.9   84.0  325.9  362.7   68.2  137.2    1.7  381.1   18.0  119.2  121.9   73.1  160.3   31.1  104.2   38.2   52.3
8      64.6  136.4   79.7   293.4   262.7  149.3    6.0  117.7   43.2    5.6   89.0   42.1  126.8   79.1   83.3   68.4   17.6   27.8  144.5  160.6   82.7   31.8   74.6   78.2   67.3   27.8   49.6   84.0   24.6   35.5   150.5   45.0   37.8  341.1   24.2  157.3   59.8   77.6  128.7    8.2   89.6   45.9  135.8   28.7   39.0  100.4   58.5  242.1   37.2  120.3   99.1   60.8  131.4  171.1   22.5  222.4   73.6   24.3  537.0  143.3   53.3  317.0    6.8   53.2   79.4   61.3   57.7  123.8   84.7   47.0   43.4   64.4   14.1   50.7   76.4    0.7   23.5   28.0  128.3   41.5    7.8  157.5  192.6   68.3  176.1   85.9   59.9   37.2    9.0  106.6   19.0    1.6   46.4  121.2    5.2  290.8  196.8   62.2   53.3   34.3
9      70.6   71.7    1.4    94.2   118.2   74.5   93.0  182.6   51.5   64.9  134.0  103.2   77.5  111.6   45.5   22.6   22.4   61.1   84.7   24.0   26.6   15.2   64.0   24.9   35.3  123.7  165.0   45.6   16.6  108.2   438.9   63.8   36.5  207.4   97.1   51.1   27.2   45.2   28.4   25.0   60.2  100.7   19.6   72.0   97.0   69.4   54.7   61.3   12.2   98.9   57.2   48.1   41.2   88.9   68.1   58.4   43.2  141.1  191.3   14.4  161.1   94.6   62.9   88.5   29.6  142.0   36.9   85.1   10.9  143.4  139.6   68.7   93.2  103.1   34.2  106.0   57.5    9.7   55.5  153.9   16.9   70.5  106.6   45.2   47.7  175.4  263.0  117.4   58.9   21.1  215.9   19.5   50.7   27.2   79.6  548.8   80.2   78.3   96.5   20.6
